n_runs,data_type,ODE_type,Learned_Feats,feature_map,adam_steps,lr_adam,LBFGS ON/OFF,lbfgs_max_iter,hidden_width,hidden_depth,omega0,n_features,a_max,rbf_width,spline_knots,L_np,U_np,Th_np,Tfinal,n_timepoints,Hill_IC,Ramp_IC,numPoints1,numPoints2,numPoints3,numPoints4,xMax,yMax,relTol,absTol
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.9132235573212335], [0.08186695749875793, 0.0]]","[[0.0, 1.480873181245118], [2.918237398470625, 0.0]]","[[0.0, 0.14056968648960766], [0.9713758577102684, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.8730297022528493], [0.08856225631514987, 0.0]]","[[0.0, 1.4787658245534614], [0.4091007136139972, 0.0]]","[[0.0, 0.22193859302282], [1.139372935535584, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.1210230796576735], [0.022443419717153107, 0.0]]","[[0.0, 1.839802151303768], [1.2534438558526022, 0.0]]","[[0.0, 0.849571890880238], [0.6815225736714218, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.13966151617359893], [0.0253934042736031, 0.0]]","[[0.0, 1.5221187085898664], [0.7790584858652697, 0.0]]","[[0.0, 0.19645706767180582], [1.124100508278913, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.6011775620353769], [0.11912291345836543, 0.0]]","[[0.0, 1.1795330513819613], [0.712876074233016, 0.0]]","[[0.0, 0.19349859238163755], [0.9261571093708992, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.0048618739497130895], [0.07271873870921985, 0.0]]","[[0.0, 0.8488886489845472], [1.3192126074760062, 0.0]]","[[0.0, 1.0156479884472667], [0.43310635601681585, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.5268746492457258], [0.2736328835718897, 0.0]]","[[0.0, 2.3184216765619112], [0.9589138947596748, 0.0]]","[[0.0, 0.7832557518271901], [1.3777457664726693, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.029207647097935312], [0.3930255845289392, 0.0]]","[[0.0, 1.750623051058157], [2.303170820844363, 0.0]]","[[0.0, 0.7564594483471033], [1.265863914772962, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.06352586175987342], [0.09335847383122808, 0.0]]","[[0.0, 1.7347024012588999], [2.6012614086125128, 0.0]]","[[0.0, 0.6338350025533158], [1.2318702633790388, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.08889392112326197], [0.4865106865231157, 0.0]]","[[0.0, 4.116061771607513], [0.6857681950621192, 0.0]]","[[0.0, 0.5074187472541202], [0.14990609384128775, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.10227381625243719], [0.38150303045255557, 0.0]]","[[0.0, 1.4531541650306212], [3.9433425067686847, 0.0]]","[[0.0, 1.87415152529702], [0.2640820480567278, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.518888822338024], [0.11026625230352842, 0.0]]","[[0.0, 0.8420054937898543], [0.3468045907122339, 0.0]]","[[0.0, 0.12284616160936233], [0.5233370621937058, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.7511479717766094], [0.09381180864869049, 0.0]]","[[0.0, 1.840461741679013], [0.43012639015718257, 0.0]]","[[0.0, 0.42431893588954905], [1.601850727823802, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.13424426423606695], [0.18570430924663103, 0.0]]","[[0.0, 0.2910899731683647], [1.5686927867598641, 0.0]]","[[0.0, 1.1369114108034752], [0.19082590073794795, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.477944415561005], [0.1582980199257699, 0.0]]","[[0.0, 1.898765788332275], [3.002048880451639, 0.0]]","[[0.0, 0.49832198048547044], [0.7163818231228786, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.4205372665009408], [0.8916713332796578, 0.0]]","[[0.0, 0.7728194330835982], [1.504311405632487, 0.0]]","[[0.0, 1.393545562813415], [0.5043278388856604, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.38855548856683503], [0.24554122037586182, 0.0]]","[[0.0, 2.092190324182225], [1.129335849417053, 0.0]]","[[0.0, 0.4465522436991448], [0.7203389175052346, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.442394005610106], [0.3621944578687641, 0.0]]","[[0.0, 1.6321343974127858], [1.2428922234944308, 0.0]]","[[0.0, 0.4730644392532497], [0.4872619551510539, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,no,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.5558987815299162], [0.11505864818178291, 0.0]]","[[0.0, 1.4620856052662239], [3.1417052149946967, 0.0]]","[[0.0, 0.42420515541586035], [0.6231548678449333, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,yes,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.3141631977973178], [0.26323661160723855, 0.0]]","[[0.0, 1.8671870027152624], [0.41249681889960543, 0.0]]","[[0.0, 0.3564172020006272], [0.5475119927330726, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
1,Ramp,Ramp,yes,fourier,20000,0.001,On,5000,100,8,30,16,10,0.1,32,"[[0.0, 0.9132235573212335], [0.08186695749875793, 0.0]]","[[0.0, 1.480873181245118], [2.918237398470625, 0.0]]","[[0.0, 0.14056968648960766], [0.9713758577102684, 0.0]]",20,1000,10,10,,,,1.3,1.3,,,
